性别,网购原因,满意度
女,价格便宜,不满意
女,价格便宜,不满意
女,价格便宜,满意
男,选择性强,不满意
男,价格便宜,不满意
男,选择性强,中立
女,方便,中立
男,选择性强,中立
女,方便,不满意
女,方便,中立
女,价格便宜,中立
女,价格便宜,满意
女,选择性强,满意
女,选择性强,满意
男,方便,满意
男,方便,中立
女,价格便宜,中立
女,价格便宜,中立
女,方便,中立
女,价格便宜,不满意
男,价格便宜,不满意
男,价格便宜,满意
男,方便,不满意
女,价格便宜,中立
男,价格便宜,不满意
男,方便,中立
女,选择性强,不满意
男,价格便宜,不满意
女,价格便宜,满意
男,价格便宜,不满意
女,价格便宜,不满意
女,选择性强,不满意
女,价格便宜,满意
男,价格便宜,不满意
男,价格便宜,不满意
男,方便,中立
女,价格便宜,不满意
女,方便,中立
男,方便,中立
男,方便,中立
男,价格便宜,不满意
男,选择性强,中立
女,方便,中立
女,方便,不满意
男,选择性强,满意
女,价格便宜,不满意
女,价格便宜,满意
女,价格便宜,满意
女,方便,满意
男,价格便宜,满意
男,方便,不满意
女,方便,满意
女,选择性强,不满意
女,价格便宜,不满意
女,方便,不满意
男,价格便宜,中立
女,方便,中立
男,方便,中立
女,价格便宜,不满意
女,选择性强,中立
女,选择性强,中立
女,价格便宜,满意
女,选择性强,满意
女,方便,满意
男,方便,满意
男,选择性强,中立
女,选择性强,中立
女,方便,中立
女,选择性强,中立
女,价格便宜,不满意
男,价格便宜,不满意
男,选择性强,满意
男,选择性强,不满意
女,选择性强,中立
女,方便,满意
男,价格便宜,不满意
女,价格便宜,不满意
男,价格便宜,不满意
男,选择性强,中立
女,价格便宜,不满意
男,方便,不满意
男,选择性强,中立
女,选择性强,不满意
女,方便,中立
男,方便,中立
男,价格便宜,中立
男,价格便宜,不满意
男,价格便宜,中立
女,选择性强,中立
女,价格便宜,不满意
男,价格便宜,满意
女,价格便宜,不满意
女,价格便宜,满意
女,选择性强,满意
女,价格便宜,满意
男,选择性强,满意
男,价格便宜,不满意
女,价格便宜,满意
女,选择性强,不满意
女,方便,不满意
女,方便,不满意
女,选择性强,不满意
女,选择性强,满意
男,方便,不满意
男,选择性强,不满意
男,价格便宜,中立
女,价格便宜,中立
男,选择性强,中立
女,方便,不满意
女,价格便宜,中立
女,价格便宜,中立
女,方便,满意
女,方便,满意
女,选择性强,满意
男,方便,满意
男,价格便宜,中立
女,选择性强,中立
女,价格便宜,中立
女,价格便宜,中立
女,方便,不满意
男,方便,不满意
男,价格便宜,满意
男,选择性强,不满意
女,价格便宜,中立
男,价格便宜,不满意
男,选择性强,中立
女,选择性强,不满意
男,方便,不满意
女,方便,满意
男,方便,不满意
女,选择性强,不满意
女,方便,不满意
女,价格便宜,满意
男,方便,不满意
男,价格便宜,不满意
男,价格便宜,中立
女,方便,不满意
女,价格便宜,中立
男,价格便宜,中立
男,价格便宜,中立
男,选择性强,不满意
男,价格便宜,中立
女,方便,中立
女,价格便宜,不满意
男,选择性强,满意
女,方便,不满意
女,方便,满意
女,选择性强,满意
女,价格便宜,满意
男,价格便宜,满意
男,选择性强,不满意
女,价格便宜,满意
女,价格便宜,不满意
女,方便,不满意
女,价格便宜,不满意
男,价格便宜,中立
女,价格便宜,中立
男,价格便宜,中立
女,价格便宜,不满意
女,价格便宜,中立
女,选择性强,中立
女,方便,满意
女,价格便宜,满意
女,方便,满意
男,选择性强,满意
男,方便,中立
女,价格便宜,中立
女,价格便宜,中立
女,价格便宜,中立
女,选择性强,不满意
男,价格便宜,不满意
男,价格便宜,满意
男,选择性强,不满意
女,方便,中立
女,价格便宜,满意
男,价格便宜,不满意
女,选择性强,不满意
男,方便,不满意
男,方便,中立
女,选择性强,不满意
男,价格便宜,不满意
男,价格便宜,中立
女,选择性强,不满意
女,选择性强,中立
男,方便,中立
男,选择性强,中立
男,价格便宜,不满意
男,方便,中立
女,价格便宜,中立
女,选择性强,不满意
男,选择性强,满意
女,价格便宜,不满意
女,方便,满意
女,价格便宜,满意
女,选择性强,满意
男,选择性强,满意
男,方便,不满意
女,方便,满意
女,选择性强,不满意
女,价格便宜,不满意
女,选择性强,不满意
女,选择性强,不满意
女,方便,满意
男,选择性强,不满意
男,选择性强,不满意
男,价格便宜,中立
女,价格便宜,中立
男,价格便宜,中立
女,价格便宜,不满意
女,价格便宜,中立
女,选择性强,中立
女,选择性强,满意
女,价格便宜,满意
女,方便,满意
男,选择性强,满意
男,价格便宜,中立
女,价格便宜,中立
女,方便,中立
女,方便,中立
女,价格便宜,不满意
男,选择性强,不满意
男,价格便宜,满意
男,价格便宜,不满意
女,价格便宜,中立
男,方便,不满意
男,方便,中立
女,价格便宜,不满意
男,选择性强,不满意
女,方便,满意
男,选择性强,不满意
女,价格便宜,不满意
女,价格便宜,不满意
女,方便,满意
男,选择性强,不满意
男,价格便宜,不满意
男,价格便宜,中立
女,选择性强,不满意
女,选择性强,中立
男,价格便宜,中立
男,选择性强,中立
男,价格便宜,不满意
男,价格便宜,中立
女,方便,中立
女,价格便宜,不满意
男,价格便宜,满意
女,价格便宜,不满意
女,选择性强,满意
女,方便,满意
女,价格便宜,满意
男,选择性强,满意
男,方便,不满意
女,选择性强,满意
女,价格便宜,不满意
女,方便,不满意
女,价格便宜,不满意
男,方便,中立
女,价格便宜,中立
男,方便,中立
女,选择性强,不满意
女,价格便宜,中立
女,方便,中立
女,选择性强,满意
女,价格便宜,满意
女,选择性强,满意
男,选择性强,满意
男,价格便宜,中立
女,方便,中立
女,价格便宜,中立
女,方便,中立
女,价格便宜,不满意
男,方便,不满意
男,选择性强,满意
男,方便,不满意
女,方便,中立
女,选择性强,满意
男,价格便宜,不满意
女,选择性强,不满意
男,价格便宜,不满意
男,价格便宜,中立
女,选择性强,不满意
男,选择性强,不满意
男,方便,中立
女,价格便宜,不满意
女,方便,中立
男,方便,中立
男,价格便宜,中立
男,方便,不满意
男,选择性强,中立
女,价格便宜,中立
女,价格便宜,不满意
男,选择性强,满意
女,价格便宜,不满意
女,选择性强,满意
女,价格便宜,满意
女,方便,满意
男,价格便宜,满意
男,选择性强,不满意
女,选择性强,满意
女,方便,不满意
女,选择性强,不满意
女,价格便宜,不满意
女,选择性强,不满意
女,选择性强,满意
男,价格便宜,不满意
男,选择性强,不满意
男,方便,中立
女,选择性强,中立
男,价格便宜,中立
女,方便,不满意
女,选择性强,中立
女,价格便宜,中立
女,选择性强,满意
女,方便,满意
女,价格便宜,满意
男,选择性强,满意
男,方便,中立
女,选择性强,中立
女,方便,中立
女,方便,中立
女,选择性强,不满意
男,价格便宜,不满意
男,选择性强,满意
男,方便,不满意
女,价格便宜,中立
男,选择性强,不满意
男,选择性强,中立
女,方便,不满意
男,选择性强,不满意
女,方便,满意
男,方便,不满意
女,选择性强,不满意
女,选择性强,不满意
女,价格便宜,满意
男,价格便宜,不满意
男,方便,不满意
男,选择性强,中立
女,价格便宜,不满意
女,价格便宜,中立
男,方便,中立
男,价格便宜,中立
男,价格便宜,不满意
男,选择性强,中立
女,选择性强,中立
女,选择性强,不满意
男,方便,满意
女,方便,不满意
女,价格便宜,满意
女,价格便宜,满意
女,选择性强,满意
男,方便,满意
男,价格便宜,不满意
女,价格便宜,满意
女,方便,不满意
女,方便,不满意
女,价格便宜,不满意
男,价格便宜,中立
女,方便,中立
男,方便,中立
女,选择性强,不满意
女,方便,中立
女,选择性强,中立
女,方便,满意
女,选择性强,满意
女,选择性强,满意
男,价格便宜,满意
男,价格便宜,中立
女,方便,中立
女,方便,中立
女,价格便宜,中立
女,价格便宜,不满意
男,价格便宜,不满意
男,方便,满意
男,价格便宜,不满意
女,价格便宜,中立
女,方便,满意
男,价格便宜,不满意
女,选择性强,不满意
男,方便,不满意
男,方便,中立
女,价格便宜,不满意
男,价格便宜,不满意
男,方便,中立
女,价格便宜,不满意
女,价格便宜,中立
男,方便,中立
男,选择性强,中立
男,方便,不满意
男,方便,中立
女,方便,中立
女,选择性强,不满意
男,选择性强,满意
女,选择性强,不满意
女,方便,满意
女,价格便宜,满意
女,选择性强,满意
男,选择性强,满意
男,方便,不满意
女,选择性强,满意
女,价格便宜,不满意
女,价格便宜,不满意
女,价格便宜,不满意
女,选择性强,不满意
女,选择性强,满意
男,选择性强,不满意
男,价格便宜,不满意
男,选择性强,中立
女,选择性强,中立
男,价格便宜,中立
女,方便,不满意
女,选择性强,中立
女,选择性强,中立
女,选择性强,满意
女,价格便宜,满意
女,价格便宜,满意
男,选择性强,满意
男,选择性强,中立
女,价格便宜,中立
女,选择性强,中立
女,价格便宜,中立
女,方便,不满意
男,选择性强,不满意
男,价格便宜,满意
男,选择性强,不满意
女,方便,中立
男,选择性强,不满意
男,选择性强,中立
女,方便,不满意
男,方便,不满意
女,选择性强,满意
男,方便,不满意
女,选择性强,不满意
女,方便,不满意
女,选择性强,满意
男,价格便宜,不满意
男,方便,不满意
男,选择性强,中立
女,价格便宜,不满意
女,选择性强,中立
男,选择性强,中立
男,选择性强,中立
男,选择性强,不满意
男,方便,中立
女,价格便宜,中立
女,选择性强,不满意
男,选择性强,满意
女,方便,不满意
女,选择性强,满意
女,方便,满意
女,价格便宜,满意
男,价格便宜,满意
男,价格便宜,不满意
女,价格便宜,满意
女,选择性强,不满意
女,方便,不满意
女,选择性强,不满意
男,价格便宜,中立
女,价格便宜,中立
男,方便,中立
女,方便,不满意
女,选择性强,中立
女,价格便宜,中立
女,价格便宜,满意
女,价格便宜,满意
女,价格便宜,满意
男,选择性强,满意
男,价格便宜,中立
女,价格便宜,中立
女,选择性强,中立
女,选择性强,中立
女,价格便宜,不满意
男,选择性强,不满意
男,选择性强,满意
男,方便,不满意
女,方便,中立
女,选择性强,满意
男,方便,不满意
女,选择性强,不满意
男,选择性强,不满意
男,方便,中立
女,方便,不满意
男,选择性强,不满意
男,选择性强,中立
女,价格便宜,不满意
女,价格便宜,中立
男,选择性强,中立
男,选择性强,中立
男,方便,不满意
男,价格便宜,中立
女,选择性强,中立
女,价格便宜,不满意
男,价格便宜,满意
女,选择性强,不满意
女,方便,满意
女,方便,满意
女,价格便宜,满意
男,价格便宜,满意
男,价格便宜,不满意
女,方便,满意
女,选择性强,不满意
女,方便,不满意
女,价格便宜,不满意
女,方便,不满意
女,选择性强,满意
男,价格便宜,不满意
男,选择性强,不满意
男,方便,中立
女,选择性强,中立
男,选择性强,中立
女,选择性强,不满意
女,价格便宜,中立
女,方便,中立
女,选择性强,满意
女,选择性强,满意
女,价格便宜,满意
男,方便,满意
男,选择性强,中立
女,价格便宜,中立
女,价格便宜,中立
女,价格便宜,中立
女,选择性强,不满意
男,价格便宜,不满意
男,价格便宜,满意
男,选择性强,不满意
女,方便,中立
男,选择性强,不满意
男,选择性强,中立
女,价格便宜,不满意
男,方便,不满意
女,选择性强,满意
男,方便,不满意
女,方便,不满意
女,方便,不满意
女,选择性强,满意
男,选择性强,不满意
男,选择性强,不满意
男,方便,中立
女,选择性强,不满意
女,选择性强,中立
男,方便,中立
男,选择性强,中立
男,方便,不满意
男,方便,中立
女,价格便宜,中立
女,选择性强,不满意
男,方便,满意
女,价格便宜,不满意
女,价格便宜,满意
女,方便,满意
女,价格便宜,满意
男,选择性强,满意
男,方便,不满意
女,方便,满意
女,价格便宜,不满意
女,选择性强,不满意
女,选择性强,不满意
男,价格便宜,中立
女,价格便宜,中立
男,选择性强,中立
女,价格便宜,不满意
女,方便,中立
女,价格便宜,中立
女,价格便宜,满意
女,方便,满意
女,选择性强,满意
男,价格便宜,满意
男,选择性强,中立
女,价格便宜,中立
女,价格便宜,中立
女,方便,中立
女,选择性强,不满意
男,方便,不满意
男,方便,满意
男,选择性强,不满意
女,选择性强,中立
女,价格便宜,满意
男,价格便宜,不满意
女,选择性强,不满意
男,方便,不满意
男,方便,中立
女,选择性强,不满意
男,方便,不满意
男,方便,中立
女,方便,不满意
女,选择性强,中立
男,方便,中立
男,方便,中立
男,价格便宜,不满意
男,价格便宜,中立
女,价格便宜,中立
女,方便,不满意
男,价格便宜,满意
女,价格便宜,不满意
女,方便,满意
女,方便,满意
女,价格便宜,满意
女,方便,满意
男,方便,不满意
女,方便,中立
女,选择性强,满意
女,方便,满意
女,价格便宜,满意
男,价格便宜,满意
男,价格便宜,中立
女,方便,中立
女,方便,中立
女,价格便宜,中立
女,选择性强,不满意
男,选择性强,不满意
男,方便,满意
男,价格便宜,不满意
女,方便,中立
男,选择性强,不满意
男,方便,中立
女,选择性强,不满意
男,选择性强,不满意
男,方便,不满意
男,方便,中立
女,选择性强,中立
女,价格便宜,不满意
女,价格便宜,不满意
女,价格便宜,中立
男,方便,满意
男,方便,不满意
女,价格便宜,满意
女,方便,不满意
女,选择性强,不满意
男,价格便宜,中立
女,方便,不满意
